route	needs_review	mile	id	lat	lon	corridor	segment_code	section_code	segment_name	section_name	include	notes
main-spine	0	0	ft-main-mi0000000	25.8572643	-81.0351582	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	1	ft-main-mi0001000	25.869154331192533	-81.03522478341182	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	2	ft-main-mi0002000	25.882323275135967	-81.03083448357297	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	3	ft-main-mi0003000	25.896489152413245	-81.03008704690114	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	4	ft-main-mi0004000	25.908227089537096	-81.02557697527992	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	5	ft-main-mi0005000	25.920028284091114	-81.01997738333954	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	6	ft-main-mi0006000	25.929648560252126	-81.01126689221245	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	7	ft-main-mi0007000	25.94271089447592	-81.00823462591931	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	8	ft-main-mi0008000	25.953921617650995	-81.00190141480641	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	9	ft-main-mi0009000	25.962591518738684	-80.9909193003836	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	10	ft-main-mi0010000	25.96868271612381	-80.97750439856081	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	11	ft-main-mi0011000	25.978614731889493	-80.9817282912412	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	12	ft-main-mi0012000	25.987220340191545	-80.99155083532465	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	13	ft-main-mi0013000	25.992377686321458	-81.00169334096424	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	14	ft-main-mi0014000	25.994643709098096	-81.0159120971752	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	15	ft-main-mi0015000	26.005380953648306	-81.025325099987	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	16	ft-main-mi0016000	26.014897756249685	-81.03436147823025	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	17	ft-main-mi0017000	26.027853563594785	-81.03378686934086	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	18	ft-main-mi0018000	26.041275233797354	-81.03435139096705	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	19	ft-main-mi0019000	26.05158179428566	-81.04333971557737	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	20	ft-main-mi0020000	26.060013217406308	-81.05007415794128	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	21	ft-main-mi0021000	26.069831640275623	-81.0424205792329	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	22	ft-main-mi0022000	26.082270234727694	-81.03752346079673	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	23	ft-main-mi0023000	26.095995171679355	-81.03855976798381	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	24	ft-main-mi0024000	26.110374253816705	-81.03744169609284	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	25	ft-main-mi0025000	26.12147994220889	-81.04219064276188	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	26	ft-main-mi0026000	26.125585881344293	-81.05692253972586	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	27	ft-main-mi0027000	26.135107948934632	-81.06834838994914	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	28	ft-main-mi0028000	26.147608146917843	-81.07194146840641	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	29	ft-main-mi0029000	26.15907433000651	-81.07007133382041	Main	southern	big_cypress_south	Southern	Big Cypress South	true	
main-spine	0	30	ft-main-mi0030000	26.169009276159045	-81.07525475483116	Main	southern	big_cypress_south	Southern	Big Cypress North	true	
main-spine	0	31	ft-main-mi0031000	26.1796273370611	-81.06806720622677	Main	southern	big_cypress_south	Southern	Big Cypress North	true	
main-spine	0	32	ft-main-mi0032000	26.19348488406834	-81.06791037719255	Main	southern	big_cypress_south	Southern	Big Cypress North	true	
main-spine	0	33	ft-main-mi0033000	26.20734587313074	-81.0706486515671	Main	southern	big_cypress_south	Southern	Big Cypress North	true	
main-spine	0	34	ft-main-mi0034000	26.220877829948627	-81.0733855884642	Main	southern	big_cypress_south	Southern	Big Cypress North	true	
main-spine	0	35	ft-main-mi0035000	26.233728016118587	-81.07281067275156	Main	southern	big_cypress_south	Southern	Big Cypress North	true	
main-spine	0	36	ft-main-mi0036000	26.243961373862764	-81.0686640707895	Main	southern	big_cypress_south	Southern	Big Cypress North	true	
main-spine	0	37	ft-main-mi0037000	26.250708369250727	-81.0818768803589	Main	southern	big_cypress_south	Southern	Big Cypress North	true	
main-spine	0	38	ft-main-mi0038000	26.26311024978529	-81.08909334273362	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	39	ft-main-mi0039000	26.276477810317658	-81.08625481081593	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	40	ft-main-mi0040000	26.289975332976	-81.0871781135485	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	41	ft-main-mi0041000	26.298417212513588	-81.07672966379265	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	42	ft-main-mi0042000	26.30913284106929	-81.06612979424033	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	43	ft-main-mi0043000	26.320317205653424	-81.05639891601575	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	44	ft-main-mi0044000	26.327923474286145	-81.04266154685831	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	45	ft-main-mi0045000	26.330495262906773	-81.02756495158577	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	46	ft-main-mi0046000	26.329241994008076	-81.01154369066856	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	47	ft-main-mi0047000	26.323794101008396	-80.9973820061091	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	48	ft-main-mi0048000	26.314854671396056	-80.985014355565	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	49	ft-main-mi0049000	26.308478095626377	-80.97096953240235	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	50	ft-main-mi0050000	26.30642028840766	-80.9553974140904	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	51	ft-main-mi0051000	26.30726479771368	-80.93929664114741	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	52	ft-main-mi0052000	26.30682996779197	-80.92315863628909	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	53	ft-main-mi0053000	26.305080959674857	-80.90720084796658	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	54	ft-main-mi0054000	26.306672345376793	-80.89580564418472	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	55	ft-main-mi0055000	26.317110942397157	-80.89097565308295	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	56	ft-main-mi0056000	26.322930376272453	-80.88118326186535	Main	southern	seminole	Southern	Seminole	true	
main-spine	0	57	ft-main-mi0057000	26.33535121247662	-80.88492948293384	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	58	ft-main-mi0058000	26.3466718994992	-80.89486309595037	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	59	ft-main-mi0059000	26.35795482732126	-80.9047125501911	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	60	ft-main-mi0060000	26.36927323259488	-80.9146471006722	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	61	ft-main-mi0061000	26.38064911030323	-80.92463444483991	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	62	ft-main-mi0062000	26.39202429488555	-80.9346237561645	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	63	ft-main-mi0063000	26.403398785859494	-80.94461503589493	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	64	ft-main-mi0064000	26.417311858029993	-80.94651402887814	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	65	ft-main-mi0065000	26.431676359204584	-80.94657748838645	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	66	ft-main-mi0066000	26.445908900866886	-80.94673812338401	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	67	ft-main-mi0067000	26.460128515069584	-80.94692171958457	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	68	ft-main-mi0068000	26.474295810633077	-80.94689053365073	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	69	ft-main-mi0069000	26.488765076536684	-80.9471927361633	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	70	ft-main-mi0070000	26.503236162275314	-80.94746640794362	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	71	ft-main-mi0071000	26.51766697840034	-80.94776849888399	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	72	ft-main-mi0072000	26.53213719698016	-80.94809450942215	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	73	ft-main-mi0073000	26.546608242571967	-80.94836956296089	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	74	ft-main-mi0074000	26.56107952598018	-80.9486299892972	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	75	ft-main-mi0075000	26.575550808914837	-80.9488904814067	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	76	ft-main-mi0076000	26.590020099725702	-80.94925816191085	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	77	ft-main-mi0077000	26.604489099396982	-80.94958447790306	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	78	ft-main-mi0078000	26.61895963180803	-80.94970225407097	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	79	ft-main-mi0079000	26.63339854226386	-80.94989536169048	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	80	ft-main-mi0080000	26.647871624451252	-80.94994787958754	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	81	ft-main-mi0081000	26.662344706619344	-80.95000041080044	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	82	ft-main-mi0082000	26.66730860949377	-80.93915964847623	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	83	ft-main-mi0083000	26.667386544704783	-80.92296392033991	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	84	ft-main-mi0084000	26.656785109705133	-80.91858193768351	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	85	ft-main-mi0085000	26.65315619538599	-80.90734179842562	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	86	ft-main-mi0086000	26.652634002790435	-80.89152994650306	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	87	ft-main-mi0087000	26.652712010493655	-80.87533636615775	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	88	ft-main-mi0088000	26.652747255778735	-80.85914260968758	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	89	ft-main-mi0089000	26.65278306131024	-80.84294876598949	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	90	ft-main-mi0090000	26.6528314427428	-80.82675495299506	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	91	ft-main-mi0091000	26.665271445199032	-80.82133642171095	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	92	ft-main-mi0092000	26.67878250944648	-80.81571283339606	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	93	ft-main-mi0093000	26.691285460629285	-80.80780062008859	Main	southern	okeechobee_south	Southern	Okeechobee South	true	
main-spine	0	94	ft-main-mi0094000	26.69838860695678	-80.81102610808394	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	95	ft-main-mi0095000	26.702083137773936	-80.82560472690862	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	96	ft-main-mi0096000	26.71297600734211	-80.83627270047428	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	97	ft-main-mi0097000	26.723868079177983	-80.84694271542521	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	98	ft-main-mi0098000	26.731946104790506	-80.86027181790654	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	99	ft-main-mi0099000	26.739094827871337	-80.87436179928665	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	100	ft-main-mi0100000	26.745551453178606	-80.88886635646956	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	101	ft-main-mi0101000	26.752094454340416	-80.90331942620948	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	102	ft-main-mi0102000	26.759575401428133	-80.91719484884173	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	103	ft-main-mi0103000	26.759032680476757	-80.920213218796	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	104	ft-main-mi0104000	26.767390072284403	-80.93127784726816	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	105	ft-main-mi0105000	26.776614808578902	-80.94376927676305	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	106	ft-main-mi0106000	26.78583844935618	-80.9562627360474	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	107	ft-main-mi0107000	26.795199149302448	-80.96860520825237	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	108	ft-main-mi0108000	26.80616909995275	-80.97918240708579	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	109	ft-main-mi0109000	26.811762025514405	-80.99231115746285	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	110	ft-main-mi0110000	26.814836667867134	-81.00811301131681	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	111	ft-main-mi0111000	26.816077292447364	-81.02386965276247	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	112	ft-main-mi0112000	26.819207077879234	-81.03961150088857	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	113	ft-main-mi0113000	26.822299919527705	-81.05544574121143	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	114	ft-main-mi0114000	26.830469222668324	-81.06792458650712	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
main-spine	0	115	ft-main-mi0115000	26.837950044672397	-81.08123052537826	Western	southern	okeechobee_west	Southern	Okeechobee West	true	
