route	needs_review	mile	id	lat	lon	corridor	segment_code	section_code	segment_name	section_name	include	notes
main-spine	0	0	ft-main-mi0000000	25.8572643	-81.0351582	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	1	ft-main-mi0001000	25.86915433	-81.03522478	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	2	ft-main-mi0002000	25.88232328	-81.03083448	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	3	ft-main-mi0003000	25.89648915	-81.03008705	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	4	ft-main-mi0004000	25.90822709	-81.02557698	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	5	ft-main-mi0005000	25.92002828	-81.01997738	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	6	ft-main-mi0006000	25.92964856	-81.01126689	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	7	ft-main-mi0007000	25.94271089	-81.00823463	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	8	ft-main-mi0008000	25.95392162	-81.00190141	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	9	ft-main-mi0009000	25.96259152	-80.9909193	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	10	ft-main-mi0010000	25.96868272	-80.9775044	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	11	ft-main-mi0011000	25.97861473	-80.98172829	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	12	ft-main-mi0012000	25.98722034	-80.99155084	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	13	ft-main-mi0013000	25.99237769	-81.00169334	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	14	ft-main-mi0014000	25.99464371	-81.0159121	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
main-spine	0	15	ft-main-mi0015000	26.00538095	-81.0253251	Main	southern	big_cypress_south	Southern	Big Cypress South	TRUE	
