mile,lat,lon,nearest_main_m,main_Trail_Name,main_Corridor,main_Trail_ID,main_LandUnit_N,main_Manager_Na,main_Eng_Seg,main_Start_Seg,nearest_alt_m,alt_Trail_Name,alt_Corridor,alt_Trail_ID,alt_LandUnit_N,alt_Manager_Na,alt_Eng_Seg,alt_Start_Seg,canonical_section,segment,route
0.000,25.857057,-81.033029,0.0,Big Cypress North,Main,T236,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,95924.9,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
1.000,25.869765,-81.035240,2.8,Big Cypress North,Main,T236,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,94596.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
2.000,25.882589,-81.030713,5.0,Big Cypress North,Main,T236,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,93105.2,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
3.000,25.896375,-81.030093,1.4,Big Cypress North,Main,T237,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,91597.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
4.000,25.908058,-81.026427,1.7,Big Cypress North,Main,T237,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,90249.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
5.000,25.918900,-81.020003,0.2,Big Cypress North,Main,T237,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,88930.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
6.000,25.928607,-81.010170,2.1,Big Cypress North,Main,T237,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,87662.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
7.000,25.940716,-81.007742,9.3,Big Cypress North,Main,T237,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,86295.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
8.000,25.952947,-81.003960,1.4,Big Cypress North,Main,T238,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,84885.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
9.000,25.960316,-80.992638,3.2,Big Cypress North,Main,T238,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,83847.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
10.000,25.966405,-80.980688,3.8,Big Cypress North,Main,T154,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,82902.1,Okeechobee East,Eastern,T201,Lake Okeechobee,ACoE,North Side of Pahokee State Park,East side of S-3 Lock,,,
11.000,25.977195,-80.977340,0.1,Big Cypress North,Main,T154,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,81656.5,Okeechobee East,Eastern,T201,Lake Okeechobee,ACoE,North Side of Pahokee State Park,East side of S-3 Lock,,,
12.000,25.983992,-80.989125,3.9,Big Cypress North,Main,T154,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,81199.0,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
13.000,25.992535,-80.995316,3.4,Big Cypress North,Main,T154,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,80400.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
14.000,25.992754,-81.010276,1.6,Big Cypress North,Main,T154,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,80712.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
15.000,25.999809,-81.021760,0.2,Big Cypress North,Main,T154,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,80227.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
16.000,26.008676,-81.032053,4.5,Big Cypress North,Main,T154,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,79537.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
17.000,26.021317,-81.036104,1.1,Big Cypress North,Main,T154,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,78292.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
18.000,26.033870,-81.034116,5.4,Big Cypress North,Main,T155,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,76895.6,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
19.000,26.045472,-81.037780,2.3,Big Cypress North,Main,T155,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,75759.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
20.000,26.053123,-81.048830,5.7,Big Cypress North,Main,T156,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,75268.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
21.000,26.061967,-81.046102,4.7,Big Cypress North,Main,T156,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,74249.0,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
22.000,26.074189,-81.043053,1.6,Big Cypress North,Main,T156,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,72861.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
23.000,26.085928,-81.037878,3.9,Big Cypress North,Main,T532,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,71461.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
24.000,26.099991,-81.038152,0.7,Big Cypress North,Main,T532,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,69980.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
25.000,26.114124,-81.037668,3.8,Big Cypress North,Main,T532,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,68471.6,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
26.000,26.121109,-81.045855,5.7,Big Cypress North,Main,T532,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,67999.0,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
27.000,26.127672,-81.059468,7.4,Big Cypress North,Main,T157,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,67773.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
28.000,26.136347,-81.071419,0.3,Big Cypress North,Main,T157,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,67302.0,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
29.000,26.150639,-81.072061,7.4,Big Cypress North,Main,T157,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,65851.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
30.000,26.161196,-81.072076,5.0,Big Cypress North,Main,T157,Big Cypress National Preserve,US NPS,Join I-75 access roads,Oasis Terminus,64767.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
31.000,26.169138,-81.072501,1.3,Big Cypress North,Main,T158,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,63969.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
32.000,26.182082,-81.067195,2.8,Big Cypress North,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,62437.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
33.000,26.195887,-81.068575,7.6,Big Cypress North,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,61082.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
34.000,26.209754,-81.071598,1.5,Big Cypress North,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,59798.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
35.000,26.223376,-81.072892,4.2,Big Cypress North,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,58479.4,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
36.000,26.234841,-81.070646,8.2,Big Cypress North,Main,T699,Big Cypress National Preserve,US NPS,Big Cypress Preserve/Indian Reservation boundary,Leave I-75 bypass,57232.0,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
